TIME,GEO,AIRPOL,AIRSECT,Value
1990,Belgium,Sulphur oxides,Total sectors of emissions for the national territory,"365,231"
1990,Bulgaria,Sulphur oxides,Total sectors of emissions for the national territory,"1,100,520"
1990,Czech Republic,Sulphur oxides,Total sectors of emissions for the national territory,"1,870,913"
1990,Denmark,Sulphur oxides,Total sectors of emissions for the national territory,"179,248"
1990,Germany,Sulphur oxides,Total sectors of emissions for the national territory,"5,484,941"
1990,Estonia,Sulphur oxides,Total sectors of emissions for the national territory,"272,392"
1990,Ireland,Sulphur oxides,Total sectors of emissions for the national territory,"184,380"
1990,Greece,Sulphur oxides,Total sectors of emissions for the national territory,"477,713"
1990,Spain,Sulphur oxides,Total sectors of emissions for the national territory,"2,156,694"
1990,France,Sulphur oxides,Total sectors of emissions for the national territory,"1,313,912"
1990,Croatia,Sulphur oxides,Total sectors of emissions for the national territory,"170,752"
1990,Italy,Sulphur oxides,Total sectors of emissions for the national territory,"1,783,278"
1990,Cyprus,Sulphur oxides,Total sectors of emissions for the national territory,"31,348"
1990,Latvia,Sulphur oxides,Total sectors of emissions for the national territory,"100,461"
1990,Lithuania,Sulphur oxides,Total sectors of emissions for the national territory,"173,293"
1990,Luxembourg,Sulphur oxides,Total sectors of emissions for the national territory,"14,829"
1990,Hungary,Sulphur oxides,Total sectors of emissions for the national territory,"824,724"
1990,Malta,Sulphur oxides,Total sectors of emissions for the national territory,"11,881"
1990,Netherlands,Sulphur oxides,Total sectors of emissions for the national territory,"193,293"
1990,Austria,Sulphur oxides,Total sectors of emissions for the national territory,"74,571"
1990,Poland,Sulphur oxides,Total sectors of emissions for the national territory,"2,647,696"
1990,Portugal,Sulphur oxides,Total sectors of emissions for the national territory,"323,774"
1990,Romania,Sulphur oxides,Total sectors of emissions for the national territory,"802,181"
1990,Slovenia,Sulphur oxides,Total sectors of emissions for the national territory,"200,876"
1990,Slovakia,Sulphur oxides,Total sectors of emissions for the national territory,"524,330"
1990,Finland,Sulphur oxides,Total sectors of emissions for the national territory,"263,032"
1990,Sweden,Sulphur oxides,Total sectors of emissions for the national territory,"105,482"
1990,United Kingdom,Sulphur oxides,Total sectors of emissions for the national territory,"3,685,351"
1990,Iceland,Sulphur oxides,Total sectors of emissions for the national territory,"20,933"
1990,Liechtenstein,Sulphur oxides,Total sectors of emissions for the national territory,132
1990,Norway,Sulphur oxides,Total sectors of emissions for the national territory,"52,282"
1990,Switzerland,Sulphur oxides,Total sectors of emissions for the national territory,"39,742"
1990,Turkey,Sulphur oxides,Total sectors of emissions for the national territory,"1,750,000"
1991,Belgium,Sulphur oxides,Total sectors of emissions for the national territory,"367,700"
1991,Bulgaria,Sulphur oxides,Total sectors of emissions for the national territory,"957,115"
1991,Czech Republic,Sulphur oxides,Total sectors of emissions for the national territory,"1,767,486"
1991,Denmark,Sulphur oxides,Total sectors of emissions for the national territory,"237,773"
1991,Germany,Sulphur oxides,Total sectors of emissions for the national territory,"3,968,571"
1991,Estonia,Sulphur oxides,Total sectors of emissions for the national territory,"250,097"
1991,Ireland,Sulphur oxides,Total sectors of emissions for the national territory,"183,155"
1991,Greece,Sulphur oxides,Total sectors of emissions for the national territory,"517,381"
1991,Spain,Sulphur oxides,Total sectors of emissions for the national territory,"2,179,473"
1991,France,Sulphur oxides,Total sectors of emissions for the national territory,"1,387,358"
1991,Croatia,Sulphur oxides,Total sectors of emissions for the national territory,"100,909"
1991,Italy,Sulphur oxides,Total sectors of emissions for the national territory,"1,672,007"
1991,Cyprus,Sulphur oxides,Total sectors of emissions for the national territory,"32,619"
1991,Latvia,Sulphur oxides,Total sectors of emissions for the national territory,"81,696"
1991,Lithuania,Sulphur oxides,Total sectors of emissions for the national territory,"198,889"
1991,Luxembourg,Sulphur oxides,Total sectors of emissions for the national territory,"14,964"
1991,Hungary,Sulphur oxides,Total sectors of emissions for the national territory,"825,861"
1991,Malta,Sulphur oxides,Total sectors of emissions for the national territory,"11,606"
1991,Netherlands,Sulphur oxides,Total sectors of emissions for the national territory,"179,382"
1991,Austria,Sulphur oxides,Total sectors of emissions for the national territory,"71,588"
1991,Poland,Sulphur oxides,Total sectors of emissions for the national territory,"2,559,588"
1991,Portugal,Sulphur oxides,Total sectors of emissions for the national territory,"314,666"
1991,Romania,Sulphur oxides,Total sectors of emissions for the national territory,"725,612"
1991,Slovenia,Sulphur oxides,Total sectors of emissions for the national territory,"186,195"
1991,Slovakia,Sulphur oxides,Total sectors of emissions for the national territory,"456,514"
1991,Finland,Sulphur oxides,Total sectors of emissions for the national territory,"198,433"
1991,Sweden,Sulphur oxides,Total sectors of emissions for the national territory,"101,760"
1991,United Kingdom,Sulphur oxides,Total sectors of emissions for the national territory,"3,530,321"
1991,Iceland,Sulphur oxides,Total sectors of emissions for the national territory,"20,107"
1991,Liechtenstein,Sulphur oxides,Total sectors of emissions for the national territory,104
1991,Norway,Sulphur oxides,Total sectors of emissions for the national territory,"43,906"
1991,Switzerland,Sulphur oxides,Total sectors of emissions for the national territory,"36,493"
1991,Turkey,Sulphur oxides,Total sectors of emissions for the national territory,"1,838,000"
1992,Belgium,Sulphur oxides,Total sectors of emissions for the national territory,"358,879"
1992,Bulgaria,Sulphur oxides,Total sectors of emissions for the national territory,"885,473"
1992,Czech Republic,Sulphur oxides,Total sectors of emissions for the national territory,"1,554,424"
1992,Denmark,Sulphur oxides,Total sectors of emissions for the national territory,"185,088"
1992,Germany,Sulphur oxides,Total sectors of emissions for the national territory,"3,240,533"
1992,Estonia,Sulphur oxides,Total sectors of emissions for the national territory,"190,995"
1992,Ireland,Sulphur oxides,Total sectors of emissions for the national territory,"171,090"
1992,Greece,Sulphur oxides,Total sectors of emissions for the national territory,"532,241"
1992,Spain,Sulphur oxides,Total sectors of emissions for the national territory,"2,140,534"
1992,France,Sulphur oxides,Total sectors of emissions for the national territory,"1,245,072"
1992,Croatia,Sulphur oxides,Total sectors of emissions for the national territory,"104,228"
